761968851	1	
761968851	3	
761968851	4	Loaded_Language
761968851	5	Causal_Oversimplification,Loaded_Language
761968851	6	
761968851	7	Loaded_Language
761968851	8	
761968851	9	
761968851	10	
761968851	11	
761968851	12	
761968851	13	
761968851	14	
761968851	15	
761968851	16	
761968851	17	
761968851	18	Causal_Oversimplification,Loaded_Language
761968851	19	
761968851	20	
761968851	21	
761968851	22	Loaded_Language,Name_Calling-Labeling
761968851	23	
761968851	24	
761968851	25	
761968851	26	Flag_Waving
761968851	27	Loaded_Language
761968851	28	Loaded_Language
761968851	29	Repetition
761968851	30	
761968851	31	
761968851	32	
761968851	33	
761968851	34	Loaded_Language
761968851	35	
